Symbol,Name,Sector
FARM,Farmer Brothers Company,Staples
FARO,FARO Technologies,Industrial
FAST,Fastenal Company,Industrial
FATE,Fate Therapeutics,Healthcare
FB,Meta Platforms,Information Technology
FBIZ,First Business Financial Services,Financials
FBMS,The First Bancshares,Financials
FBNC,First Bancorp,Financials
FCAP,First Capital,Financials
FCBC,First Community Bancshares,Financials
FCCO,First Community,Financials
FCEL,FuelCell Energy,Industrial
FCFS,FirstCash Holdings,Financials
FCNCA,First Citizens BancShares,Financials
FDIV,First Trust Strategic Income ETF,ETF
FDUS,Fidus Investment,Financials
FEIM,Frequency Electronics,Industrial
FELE,Franklin Electric Co.,Industrial
FEMB,First Trust Emerging Markets Local Currency Bond ETF,ETF
FEUZ,First Trust Eurozone AlphaDEX ETF,ETF
FFBC,First Financial Bancorp,Financials
FFHL,Fuwei Films (Holdings) Co.,Materials
FFIC,Flushing Financial,Financials
FFIN,First Financial Bankshares,Financials
FFIV,F5 Networks,Industrial
FFKT,Farmers Capital Bank Corporation,ETF
FFNM,First Federal of Northern Michigan Bancorp, Inc.,ETF
FFNW,First Financial Northwest,Financials
FFWM,First Foundation,Financials
FGEN,FibroGen,Healthcare
FIBK,First Interstate BancSystem,Financials
FINL,The Finish Line, Inc.,ETF
FISI,Financial Institutions,Financials
FISV,Fiserv,Information Technology
FITB,Fifth Third Bancorp,Financials
FITBI,Fifth Third Bancorp,ETF
FIVE,Five Below,Discretionary
FIVN,Five9,Information Technology
FIZZ,National Beverage,Discretionary
FLAT,Barclays PLC,ETF
FLEX,Flex Ltd.,Industrial
FLIC,The First of Long Island Corporation,Financials
FLL,Full House Resorts,Discretionary
FLWS,1-800-Flowers.com,Information Technology
FLXS,Flexsteel Industries,Discretionary
FMB,First Trust Managed Municipal ETF,ETF
FMBH,First Mid Bancshares,Financials
FMI,Foundation Medicine, Inc.,ETF
FMNB,Farmers National Banc,Financials
FNHC,FedNat Holding Company,Financials
FNLC,First Bancorp, Inc. - Maine,Financials
FOLD,Amicus Therapeutics,Healthcare
FONE,First Trust NASDAQ CEA Smartphone Index Fund,ETF
FONR,Fonar,Healthcare
FORD,Forward Industries,Discretionary
FORM,FormFactor,Information Technology
FORR,Forrester Research,Services
FORTY,Formula Systems (1985),Information Technology
FOSL,Fossil Group,Discretionary
FOX,Fox Corporation,Communication
FOXA,Fox Corporation,Communication
FOXF,Fox Factory Holding,Industrial
FPXI,First Trust International IPO ETF,ETF
FRBA,First Bank,Financials
FRBK,Republic First Bancorp,Financials
FREE,Whole Earth Brands,Discretionary
FRGI,Fiesta Restaurant Group,Discretionary
FRME,First Merchants,Financials
FRPH,FRP Holdings,Real Estate
FRPT,Freshpet,Staples
FRSH,Freshworks,Information Technology
FSBW,FS Bancorp,Financials
FSFG,First Savings Financial Group,Financials
FSLR,First Solar,Information Technology
FSTR,L.B. Foster Company,Industrial
FTCS,First Trust Capital Strength ETF,ETF
FTEK,Fuel Tech,Industrial
FTGC,First Trust Global Tactical Commodity Strategy Fund,ETF
FTHI,First Trust High Income ETF,ETF
FTLB,First Trust Low Beta Income ETF,ETF
FTNT,Fortinet,Information Technology
FTSL,First Trust Senior Loan Fund ETF,ETF
FTSM,First Trust Enhanced Short Maturity ETF,ETF
FULT,Fulton Financial,Financials
FUNC,First United,Financials
FUND,Royce Focus Trust, Inc.,ETF
FV,First Trust Dorsey Wright Focus 5 ETF,ETF
FWP,Forward Pharma,Healthcare
FWRD,Forward Air,Industrial
GABC,German American Bancorp,Financials
GAI,Global,ETF
GAIA,Gaia, Inc.,Communication
GAIN,Gladstone Investment,Financials
GALT,Galectin Therapeutics,Healthcare
GAME,Engine Gaming & Media,Information Technology
GASS,StealthGas,Energy
GBCI,Glacier Bancorp,Financials
GBDC,Golub Capital BDC,Financials
GBIM,GlobeImmune, Inc.,ETF
GBLI,Global Indemnity Group, LLC,Financials
GBNK,Guaranty Bancorp,ETF
GCBC,Greene County Bancorp,Financials
GENC,Gencor Industries,Industrial
GENE,Genetic Technologies,Healthcare
GEOS,Geospace Technologies,Energy
GERN,Geron,Healthcare
GEVO,Gevo, Inc.,Energy
GGAL,Grupo Financiero Galicia,Financials
GIFI,Gulf Island Fabrication,Energy
GIGA,Giga,ETF
GIGM,GigaMedia,Communication
GIII,G-III Apparel Group,Discretionary
GILD,Gilead Sciences,Healthcare
GILT,Gilat Satellite Networks,Industrial
GK,G&K Services, Inc.,ETF
GLAD,Gladstone Capital,Financials
GLBS,Globus Maritime,Industrial
GLBZ,Glen Burnie Bancorp,Financials
GLDD,Great Lakes Dredge & Dock,Industrial
GLDI,Credit Suisse AG,ETF
GLMD,Galmed Pharmaceuticals,Healthcare
GLNG,Golar LNG,Energy
GLPI,Gaming & Leisure Properties,Real Estate
GLRE,Greenlight Capital Re,Financials
GLRI,Glori Energy Inc,ETF
GLYC,GlycoMimetics,Healthcare
GMAN,Gordmans Stores, Inc.,ETF
GNBC,Green Bancorp, Inc.,ETF
GNCA,Genocea Biosciences,Healthcare
GNCMA,General Communication, Inc.,ETF
GNMA,iShares Core GNMA Bond ETF,ETF
GNTX,Gentex,Industrial
GOGO,Gogo Inc.,Information Technology
GOLD,Barrick Gold,Materials
GOOD,Gladstone Commercial,Real Estate
GOODN,Gladstone Commercial Corporation,ETF
GOODO,Gladstone Commercial Corporation,ETF
GOOG,Alphabet,Information Technology
GOOGL,Alphabet,Information Technology
GPOR,Gulfport Energy,Energy
GPRE,Green Plains,Energy
GPRO,GoPro,Discretionary
GRBK,Green Brick Partners,Discretionary
GRFS,Grifols,Healthcare
GRID,First Trust NASDAQ Clean Edge Smart Grid Infrastructure Index Fund,ETF
GRMN,Garmin,Discretionary
GROW,U.S. Global Investors,Financials
GRPN,Groupon,Information Technology
GRVY,Gravity Co.,Communication
GSBC,Great Southern Bancorp,Financials
GSIG,GSI Group, Inc.,ETF
GSIT,GSI Technology,Information Technology
GSM,Ferroglobe,Materials
GT,The Goodyear Tire & Rubber Company,Industrial
GTIM,Good Times Restaurants,Discretionary
GTLS,Chart Industries,Industrial
GULF,WisdomTree Middle East Dividend Fund,ETF
GULTU,Gulf Coast Ultra Deep Royalty Trust,ETF
GURE,Gulf Resources,Materials
GYRO,Gyrodyne, LLC,Real Estate
HA,Hawaiian Holdings,Industrial
HAFC,Hanmi Financial,Financials
HAIN,The Hain Celestial Group,Staples
HALL,Hallmark Financial Services,Financials
HALO,Halozyme Therapeutics,Healthcare
HART,Harvard Apparatus Regenerative Technology, Inc.,ETF
HAS,Hasbro,Discretionary
HAWK,Blackhawk Network Holdings, Inc.,ETF
HAYN,Haynes International,Materials
HBAN,Huntington Bancshares,Financials
HBANP,Huntington Bancshares Incorporated,ETF
HBCP,Home Bancorp,Financials
HBIO,Harvard Bioscience,Healthcare
HBNC,Horizon Bancorp,Financials
HCCI,Heritage-Crystal Clean,Industrial
HCKT,The Hackett Group,Information Technology
HCOM,Hawaiian Telcom Holdco, Inc.,ETF
HCSG,Healthcare Services Group,Industrial
HDNG,Hardinge, Inc.,ETF
HDP,Hortonworks, Inc.,ETF
HDSN,Hudson Technologies,Industrial
HEAR,Turtle Beach,Discretionary
HEES,H&E Equipment Services,Industrial
HELE,Helen of Troy,Discretionary
HERO,Hercules Offshore, Inc.,ETF
HFBL,Home Federal Bancorp,Financials
HFWA,Heritage Financial,Financials
HIBB,Hibbett,Discretionary
HIFS,Hingham Institution for Savings,Financials
HIHO,Highway Holdings,Industrial
HIMX,Himax Technologies,Information Technology
HLIT,Harmonic,Industrial
HMNF,HMN Financial,Financials
HMNY,Helios and Matheson Analytics Inc,ETF
HMST,HomeStreet,Financials
HMTV,Hemisphere Media Group,Communication
HNNA,Hennessy Advisors,Financials
HNRG,Hallador Energy Company,Energy
HOFT,Hooker Furniture,Discretionary
HOLI,HollySys Automation Technologies,Industrial
HOLX,Hologic,Healthcare
HOMB,Home Bancshares,Financials
HOVNP,Hovnanian Enterprises Inc,ETF
HQY,HealthEquity,Healthcare
HRTX,Heron Therapeutics,Healthcare
HRZN,Horizon Technology Finance,Financials
HSIC,Henry Schein,Healthcare
HSII,Heidrick & Struggles International,Services
HSKA,Heska,Healthcare
HSON,Hudson Global,Services
HSTM,HealthStream,Healthcare
HTBI,HomeTrust Bancshares,Financials
HTBK,Heritage Commerce,Financials
HTHT,Huazhu Group,Discretionary
HTLD,Heartland Express,Industrial
HTLF,Heartland Financial USA,Financials
HUBG,Hub Group,Industrial
HURC,Hurco Companies,Industrial
HURN,Huron Consulting Group,Services
HWBK,Hawthorn Bancshares,Financials
HWKN,Hawkins,Materials
HYLS,First Trust High Yield Long/Short ETF,ETF
HYND,WisdomTree BofA Merrill Lynch High Yield Bond Negative Duration Fund,ETF
HYZD,WisdomTree BofA Merrill Lynch High Yield Bond Zero Duration Fund,ETF
HZNP,Horizon Therapeutics,Healthcare
IART,Integra LifeSciences Holdings,Healthcare
IBB,iShares Nasdaq Biotechnology Index Fund,ETF
IBCP,Independent Bank,Financials
IBKR,Interactive Brokers Group,Financials
IBOC,International Bancshares,Financials
IBTX,Independent Bank Group,Financials
ICAD,iCAD, Inc.,Healthcare
ICCC,ImmuCell,Healthcare
ICFI,ICF International,Services
ICLD,InterCloud Systems, Inc,ETF
ICLN,iShares S&P Global Clean Energy Index Fund,ETF
ICLR,ICON plc,Healthcare
ICPT,Intercept Pharmaceuticals,Healthcare
ICUI,ICU Medical,Healthcare
IDCC,InterDigital,Industrial
IDRA,Idera Pharmaceuticals,Healthcare
IDXX,IDEXX Laboratories,Healthcare
IEP,Icahn Enterprises,Industrial
IESC,IES Holdings,Industrial
IEUS,iShares MSCI Europe Small,ETF
IFEU,iShares FTSE EPRA/NAREIT Europe Index Fund,ETF
IFGL,iShares FTSE EPRA/NAREIT Global Real Estate ex,ETF
IFV,First Trust Dorsey Wright International Focus 5 ETF,ETF
IGLD,Internet Gold Golden Lines Ltd.,ETF
IGOV,iShares S&P/Citigroup International Treasury Bond Fund,ETF
III,Information Services Group,Information Technology
IIIN,Insteel Industries,Industrial
ILMN,Illumina,Healthcare
IMGN,ImmunoGen,Healthcare
IMKTA,Ingles Markets,,Staples
IMMR,Immersion,Information Technology
IMOS,ChipMOS Technologies,Information Technology
INBK,First Internet Bancorp,Financials
INCR,Intercure,Healthcare
INCY,Incyte,Healthcare
INDB,Independent Bank,Financials
INDY,iShares S&P India Nifty 50 Index Fund,ETF
INFA,Informatica,Information Technology
INFI,Infinity Pharmaceuticals,Healthcare
INFN,Infinera,Industrial
INGN,Inogen,Healthcare
INO,Inovio Pharmaceuticals,Healthcare
INOD,Innodata,Information Technology
INSM,Insmed,Healthcare
INTC,Intel,Information Technology
INTG,The InterGroup Corporation,Real Estate
INTU,Intuit,Information Technology
INTX,Intersections, Inc.,ETF
INVE,Identiv,Industrial
IOSP,Innospec,Materials
IPAR,Inter Parfums,Discretionary
IPAS,iPass Inc.,ETF
IPCC,Infinity Property and Casualty Corporation,ETF
IPDN,Professional Diversity Network,Discretionary
IPGP,IPG Photonics,Industrial
IPKW,PowerShares International BuyBack Achievers Portfolio,ETF
IPWR,Ideal Power,Industrial
IPXL,Impax Laboratories, Inc.,ETF
IRBT,iRobot,Discretionary
IRDM,Iridium Communications,Communication
IRIX,IRIDEX,Healthcare
IRMD,IRadimed,Healthcare
IROQ,IF Bancorp,Financials
IRWD,Ironwood Pharmaceuticals,Healthcare
ISBC,Investors Bancorp,Financials
ISHG,iShares S&P/Citigroup 1,ETF
ISIG,Insignia Systems,Communication
ISRG,Intuitive Surgical,Healthcare
ISSC,Innovative Solutions & Support,Industrial
ISTR,Investar Holding,Financials
ITCI,Intra-Cellular Therapies,Healthcare
ITIC,Investors Title Company,Financials
ITRI,Itron,Industrial
ITRN,Ituran Location & Control,Industrial
IVAC,Intevac,Information Technology
JACK,Jack in the Box,Discretionary
JAKK,JAKKS Pacific,Discretionary
JAZZ,Jazz Pharmaceuticals,Healthcare
JBHT,J.B. Hunt Transport Services,Industrial
JBLU,JetBlue Airways,Industrial
JBSS,John B. Sanfilippo & Son,Staples
JCTCF,Jewett-Cameron Trading Company,Industrial
JD,JD.com,Information Technology
JJSF,J & J Snack Foods,Staples
JKHY,Jack Henry & Associates,Information Technology
JMBA,Jamba, Inc.,ETF
JOUT,Johnson Outdoors,Discretionary
JRVR,James River Group Holdings,Financials
JSM,SLM Corporation,ETF
JTPY,JetPay Corporation,ETF
JUNO,Juno Therapeutics, Inc.,ETF
JVA,Coffee Holding Co.,Staples
JXSB,Jacksonville Bancorp Inc.,ETF
JYNT,The Joint,Healthcare
KALU,Kaiser Aluminum,Materials
KANG,iKang Healthcare Group, Inc.,ETF
KBAL,Kimball International,Industrial
KCLI,Kansas City Life Insurance Company,ETF
KE,Kimball Electronics,Industrial
KELYA,Kelly Services,Services
KELYB,Kelly Services,Services
KEQU,Kewaunee Scientific,Healthcare
KERX,Keryx Biopharmaceuticals, Inc.,ETF
KEYW,The KEYW Holding Corporation,ETF
KFFB,Kentucky First Federal Bancorp,Financials
KFRC,Kforce,Services
KGJI,Kingold Jewelry Inc.,ETF
KINS,Kingstone Companies,Financials
KIRK,Kirkland's,Discretionary
KLAC,KLA Corporation,Information Technology
KLIC,Kulicke & Soffa Industries,Information Technology
KLXI,KLX Inc.,ETF
KMDA,Kamada,Healthcare
KNDI,Kandi Technologies Group,Industrial
KOPN,Kopin,Information Technology
KOSS,Koss Corporation,Discretionary
KPTI,Karyopharm Therapeutics,Healthcare
KRNY,Kearny Financial,Financials
KTCC,Key Tronic,Industrial
KTEC,Key Technology, Inc.,ETF
KTOS,Kratos Defense & Security Solutions,Industrial
KTWO,K2M Group Holdings, Inc.,ETF
KVHI,KVH Industries,Industrial
KWEB,KraneShares CSI China Internet ETF,ETF
LAKE,Lakeland Industries,Discretionary
LAMR,Lamar Advertising Company,Real Estate
LANC,Lancaster Colony,Staples
LAND,Gladstone Land,Real Estate
LARK,Landmark Bancorp,Financials
LAYN,Layne Christensen Company,ETF
LBAI,Lakeland Bancorp,Financials
LBRDA,Liberty Broadband,Communication
LBRDK,Liberty Broadband,Communication
LBTYA,Liberty Global,Communication
LBTYB,Liberty Global,Communication
LBTYK,Liberty Global,Communication
LCNB,LCNB Corporation,Financials
LCUT,Lifetime Brands,Discretionary
LDRI,PowerShares LadderRite 0,ETF
LE,Lands' End,Information Technology
LECO,Lincoln Electric Holdings,Industrial
LEDS,SemiLEDs,Information Technology
LFUS,Littelfuse,Industrial
LFVN,LifeVantage,Discretionary
LGCY,Legacy Reserves LP,ETF
LGIH,LGI Homes,Discretionary
LGND,Ligand Pharmaceuticals,Healthcare
LHCG,LHC Group,Healthcare
LIME,Lime Energy Co.,ETF
LINC,Lincoln Educational Services,Discretionary
LION,Lionheart III,SPAC
LIVE,Live Ventures,Discretionary
LKQ,LKQ Corporation,Industrial
LMBS,First Trust Low Duration Mortgage Opportunities ETF,ETF
LMNR,Limoneira Company,Staples
LOAN,Manhattan Bridge Capital,Real Estate
LOCM,Local Corporation,ETF
LOCO,El Pollo Loco Holdings,Discretionary
LOGI,Logitech International,Information Technology
LOPE,Grand Canyon Education,Discretionary
LPCN,Lipocine,Healthcare
LPLA,LPL Financial Holdings,Financials
LPNT,LifePoint Hospitals, Inc.,ETF
LPSN,LivePerson,Information Technology
LPTH,LightPath Technologies,Industrial
LQDT,Liquidity Services,Information Technology
LRCX,Lam Research,Information Technology
LSBK,Lake Shore Bancorp,Financials
LSCC,Lattice Semiconductor,Information Technology
LSTR,Landstar System,Industrial
LTBR,Lightbridge,Services
LTRE,Learning Tree International, Inc.,ETF
LTRPA,Liberty TripAdvisor Holdings,Information Technology
LTRPB,Liberty TripAdvisor Holdings,Information Technology
LTRX,Lantronix,Industrial
LULU,Lululemon Athletica,Discretionary
LUNA,Luna Innovations,Industrial
LVNTB,Liberty Interactive Corporation,ETF
LWAY,Lifeway Foods,Staples
LXRX,Lexicon Pharmaceuticals,Healthcare
LYTS,LSI Industries,Industrial
MACK,Merrimack Pharmaceuticals,Healthcare
MAG,MAG Silver,Materials
MANH,Manhattan Associates,Information Technology
MAR,Marriott International,Discretionary
MARA,Marathon Digital Holdings,Information Technology
MARK,Remark Holdings,Information Technology
MARPS,Marine Petroleum Trust,Energy
MASI,Masimo,Healthcare
MAT,Mattel,Discretionary
MATR,Mattersight Corporation,ETF
MATW,Matthews International,Industrial
MAYS,J.W. Mays,Real Estate
MBCN,Middlefield Banc,Financials
MBFIP,MB Financial Inc.,ETF
MBSD,FlexShares Disciplined Duration MBS Index Fund,ETF
MBUU,Malibu Boats,Discretionary
MBWM,Mercantile Bank,Financials
MCBC,Macatawa Bank,Financials
MCBK,Madison County Financial, Inc.,ETF
MCHP,Microchip Technology,Information Technology
MCHX,Marchex,Communication
MCRI,Monarch Casino & Resort,Discretionary
MDIV,First Trust Exchange,ETF
MDLZ,Mondelez International,Staples
MDRX,Allscripts Healthcare Solutions,Healthcare
MDWD,MediWound,Healthcare
MDXG,MiMedx Group,Healthcare
MEIL,Methes Energies International Ltd,ETF
MEIP,MEI Pharma,Healthcare
MELI,MercadoLibre,Information Technology
MEOH,Methanex,Materials
MERC,Mercer International,Materials
MFLX,Multi,ETF
MGEE,MGE Energy,Utilities
MGI,MoneyGram International,Information Technology
MGIC,Magic Software Enterprises,Information Technology
MGNX,MacroGenics,Healthcare
MGPI,MGP Ingredients,Discretionary
MGRC,McGrath RentCorp,Industrial
MGYR,Magyar Bancorp,Financials
MHLD,Maiden Holdings,Financials
MICT,MICT, Inc.,Industrial
MIDD,The Middleby Corporation,Industrial
MIFI,Novatel Wireless, Inc.,ETF
MIND,MIND Technology,Energy
MITK,Mitek Systems,Information Technology
MITL,Mitel Networks Corporation,ETF
MKSI,MKS Instruments,Information Technology
MKTX,MarketAxess Holdings,Financials
MLAB,Mesa Laboratories,Healthcare
MLNK,MeridianLink,Information Technology
MLVF,Malvern Bancorp,Financials
MMLP,Martin Midstream Partners,Energy
MMSI,Merit Medical Systems,Healthcare
MMYT,MakeMyTrip,Information Technology
MNDO,MIND CTI,Information Technology
MNKD,MannKind,Healthcare
MNOV,MediciNova,Healthcare
MNRO,Monro,Discretionary
MNST,Monster Beverage,Discretionary
MNTX,Manitex International,Industrial
MOBL,MobileIron, Inc.,ETF
MOFG,MidWestOne Financial Group,Financials
MOMO,Hello Group,Information Technology
MORN,Morningstar,Financials
MPAA,Motorcar Parts of America,Industrial
MPB,Mid Penn Bancorp,Financials
MPWR,Monolithic Power Systems,Information Technology
MRCC,Monroe Capital,Financials
MRCY,Mercury Systems,Industrial
MRGE,Merge Healthcare Incorporated.,ETF
MRNS,Marinus Pharmaceuticals,Healthcare
MRTN,Marten Transport,Industrial
MRTX,Mirati Therapeutics,Healthcare
MRVL,Marvell Technology,Information Technology
MSCC,Microsemi Corporation,ETF
MSEX,Middlesex Water Company,Utilities
MSFG,MainSource Financial Group, Inc.,ETF
MSFT,Microsoft,Information Technology
MSTR,MicroStrategy,Information Technology
MTBC,CareCloud,Healthcare
MTEX,Mannatech,,Discretionary
MTGE,American Capital Mortgage Investment Corp.,ETF
MTLS,Materialise NV,Information Technology
MTRX,Matrix Service Company,Energy
MTSI,MACOM Technology Solutions Holdings,Information Technology
MU,Micron Technology,Information Technology
MVIS,MicroVision,Industrial
MYGN,Myriad Genetics,Healthcare
MYRG,MYR Group,Industrial
MZOR,Mazor Robotics Ltd.,ETF
NAII,Natural Alternatives International,Discretionary
NAME,Rightside Group, Ltd.,ETF
NATH,Nathan's Famous,Discretionary
NATI,National Instruments,Industrial
NATR,Nature's Sunshine Products,Discretionary
NAUH,National American University Holdings, Inc.,ETF
NAVI,Navient,Financials
NBIX,Neurocrine Biosciences,Healthcare
NBN,Northeast Bank,Financials
NBS,Neostem, Inc.,ETF
NBTB,NBT Bancorp,Financials
NCLH,Norwegian Cruise Line Holdings,Discretionary
NCMI,National CineMedia,Communication
NCTY,The9 Limited,Communication
NDAQ,Nasdaq,Financials
NDLS,Noodles & Company,Discretionary
NDSN,Nordson,Industrial
NECB,NorthEast Community Bancorp,Financials
NEO,NeoGenomics,Healthcare
NEOG,Neogen,Healthcare
NEON,Neonode,Industrial
NEPT,Neptune Wellness Solutions,Discretionary
NERV,Minerva Neurosciences,Healthcare
NEWP,New Pacific Metals,Industrial
NEWS,NewStar Financial, Inc.,ETF
NEWT,Newtek Business Services,Financials
NFBK,Northfield Bancorp,Financials
NFLX,Netflix,Communication
NICE,NICE Ltd.,Information Technology
NICK,Nicholas Financial,Financials
NILE,BitNile Holdings,Healthcare
NKSH,National Bankshares,Financials
NKTR,Nektar Therapeutics,Healthcare
NLST,Netlist, Inc.,ETF
NMIH,NMI Holdings,Financials
NNBR,NN, Inc.,Industrial
NRCIB,National Research Corporation,ETF
NRIM,Northrim BanCorp,Financials
NSIT,Insight Enterprises,Industrial
NSSC,Napco Security Technologies,Industrial
NSTG,NanoString Technologies,Healthcare
NSYS,Nortech Systems,Industrial
NTAP,NetApp,Information Technology
NTCT,NetScout Systems,Industrial
NTES,NetEase,Communication
NTGR,Netgear,Industrial
NTIC,Northern Technologies International,Materials
NTRS,Northern Trust,Financials
NTWK,NetSol Technologies,Information Technology
NUAN,Nuance Communications,Information Technology
NURO,NeuroMetrix,Healthcare
NUVA,NuVasive,Healthcare
NVAX,Novavax,Healthcare
NVCN,Neovasc,Healthcare
NVDA,NVIDIA,Information Technology
NVEC,NVE Corporation,Information Technology
NVEE,NV5 Global,Industrial
NVFY,Nova Lifestyle,Discretionary
NVMI,Nova Ltd.,Information Technology
NWBI,Northwest Bancshares,Financials
NWBO,Northwest Biotherapeutics, Inc.,ETF
NWFL,Norwood Financial,Financials
NWLI,National Western Life Group,Financials
NWPX,Northwest Pipe Company,Industrial
NWS,News Corporation,Communication
NWSA,News Corporation,Communication
NXPI,NXP Semiconductors NV,Information Technology
NXST,Nexstar Media Group,Communication
NYMX,Nymox Pharmaceutical,Healthcare
OCC,Optical Cable,Industrial
OCFC,OceanFirst Financial,Financials
OCLR,Oclaro, Inc.,ETF
OCUL,Ocular Therapeutix,Healthcare
ODFL,Old Dominion Freight Line,Industrial
ODP,The ODP Corporation,Discretionary
OFED,Oconee Federal Financial,Financials
OFIX,Orthofix Medical,Healthcare
OFLX,Omega Flex,Industrial
OFS,OFS Capital,Financials
